new_entry_price,old_entry_price,portfolio,position_id,position_type,symbol
0.0,8.0,Hedge Fund,f0fd08cd-4d6e-6658-d342-514c6cb2d6e9,SC,TSLA250815C00300000
0.0,2.5,Hedge Fund,1af2e26f-347c-1ef0-fd8c-76dd7499c7a6,LC,VIX250716C00025000
341.11,225.0,Hedge Fund,320845df-f925-9e6a-4533-bbfdbf63b743,LONG,AAPL
245.6,162.0,Hedge Fund,2af687c0-0529-de96-5499-8c2774d9727c,LONG,AMD
257.73,170.0,Hedge Fund,adcc1ad5-2178-07ab-63af-b5a2880daef4,LONG,AMZN
667.05,440.0,Hedge Fund,3610c599-a766-511f-42d8-5173142ba02c,LONG,BRK-B
242.57,160.0,Hedge Fund,a90785d4-70ce-f9ef-35e3-b940b507cad9,LONG,GOOGL
242.57,160.0,Hedge Fund,4c616b89-6471-9603-b859-ee4f3fe234d7,LONG,JNJ
257.73,170.0,Hedge Fund,389053f7-623a-3b82-a923-a456aa48bb8d,LONG,JPM
401.75,265.0,Hedge Fund,82239f2b-bf0b-bcf7-cbf8-7f963121ba38,LONG,META
636.73,420.0,Hedge Fund,7a596a8d-6e89-25bb-d017-38a42bf94099,LONG,MSFT
1061.22,700.0,Hedge Fund,3dd6a6d0-ccd0-92c2-72b7-a573258a7265,LONG,NVDA
386.59,255.0,Hedge Fund,094fd18f-ed2f-62dd-511d-7178dce2e767,LONG,TSLA
826.24,545.0,Hedge Fund,3a13a07c-2f9b-aed1-bce7-3c4b918b3bbc,LONG,UNH
406.3,268.0,Hedge Fund,e41514ab-1682-fa5d-d234-74416b20380d,LONG,V
86.82,55.0,Hedge Fund,b1f9b995-b655-51c8-8db9-2264ea032ded,SHORT,C
18.94,12.0,Hedge Fund,0ca7cde1-355d-1a73-84f4-1901705a07c4,SHORT,F
221.0,140.0,Hedge Fund,f3c9e7c6-0d27-7efb-0130-7e8533a78312,SHORT,GE
773.5,490.0,Hedge Fund,f81eefb4-4f25-83eb-03e5-950c0895da49,SHORT,NFLX
63.14,40.0,Hedge Fund,096752f1-05fa-f5e9-e4fc-3a412f672fbe,SHORT,PTON
94.71,60.0,Hedge Fund,2e76baee-3097-5418-84ae-5095e3f0addf,SHORT,ROKU
307.82,195.0,Hedge Fund,5043655b-993b-48b7-5df1-3e2d22ccc17d,SHORT,SHOP
173.64,110.0,Hedge Fund,70a4f937-2de7-2ed2-a32f-0036f6ad4122,SHORT,XOM
110.5,70.0,Hedge Fund,78e05cfb-ea86-0d3b-ddfb-9d6e82142067,SHORT,ZM
